t,T_tr,T_v,rho_N2,rho_N,rho_O2,rho_O,rho_NO
1.64e-12,7329.62,20710.9,0.766996,3.67119e-06,0.23292,8.00568e-05,4.95163e-09
1.65e-12,7290.5,20808.8,0.766996,3.72539e-06,0.232919,8.1e-05,5.08131e-09
1.66e-12,7251.93,20905.4,0.766996,3.77944e-06,0.232918,8.19423e-05,5.21312e-09
1.67e-12,7213.9,21000.6,0.766996,3.83336e-06,0.232917,8.28834e-05,5.34707e-09
1.68e-12,7176.43,21094.5,0.766996,3.88712e-06,0.232916,8.38233e-05,5.48319e-09
1.69e-12,7139.52,21186.9,0.766996,3.94072e-06,0.232915,8.4762e-05,5.62148e-09
1.7e-12,7103.17,21277.9,0.766996,3.99415e-06,0.232914,8.56995e-05,5.76198e-09
1.71e-12,7067.37,21367.5,0.766996,4.04742e-06,0.232913,8.66356e-05,5.90468e-09
1.72e-12,7032.14,21455.7,0.766996,4.1005e-06,0.232912,8.75703e-05,6.04962e-09
1.73e-12,6997.47,21542.5,0.766996,4.1534e-06,0.232911,8.85037e-05,6.1968e-09
1.74e-12,6963.37,21627.9,0.766996,4.20612e-06,0.232911,8.94355e-05,6.34625e-09
1.75e-12,6929.84,21711.9,0.766996,4.25864e-06,0.23291,9.03659e-05,6.49798e-09
1.76e-12,6896.88,21794.4,0.766996,4.31098e-06,0.232909,9.12948e-05,6.65202e-09
1.77e-12,6864.49,21875.5,0.766996,4.36311e-06,0.232908,9.22222e-05,6.80837e-09
1.78e-12,6832.67,21955.1,0.766996,4.41504e-06,0.232907,9.31479e-05,6.96707e-09
1.79e-12,6801.43,22033.3,0.766996,4.46677e-06,0.232906,9.40721e-05,7.12812e-09
1.8e-12,6770.76,22110.1,0.766995,4.51829e-06,0.232905,9.49947e-05,7.29155e-09
1.81e-12,6740.67,22185.4,0.766995,4.56961e-06,0.232904,9.59156e-05,7.45738e-09
1.82e-12,6711.16,22259.3,0.766995,4.62071e-06,0.232903,9.68349e-05,7.62562e-09
1.83e-12,6682.23,22331.7,0.766995,4.67161e-06,0.232902,9.77526e-05,7.7963e-09
1.84e-12,6653.88,22402.7,0.766995,4.7223e-06,0.232901,9.86685e-05,7.96944e-09
1.85e-12,6626.12,22472.2,0.766995,4.77278e-06,0.2329,9.95829e-05,8.14505e-09
1.86e-12,6598.93,22540.2,0.766995,4.82305e-06,0.2329,0.000100495,8.32315e-09
1.87e-12,6572.34,22606.8,0.766995,4.8731e-06,0.232899,0.000101406,8.50377e-09
1.88e-12,6546.32,22671.9,0.766995,4.92295e-06,0.232898,0.000102316,8.68693e-09
1.89e-12,6520.9,22735.5,0.766995,4.97259e-06,0.232897,0.000103223,8.87263e-09
1.9e-12,6496.06,22797.7,0.766995,5.02203e-06,0.232896,0.000104129,9.06092e-09
1.91e-12,6471.81,22858.4,0.766995,5.07125e-06,0.232895,0.000105034,9.25179e-09
1.92e-12,6448.15,22917.6,0.766995,5.12028e-06,0.232894,0.000105936,9.44527e-09
1.93e-12,6425.08,22975.3,0.766995,5.1691e-06,0.232893,0.000106837,9.64138e-09
1.94e-12,6402.6,23031.6,0.766995,5.21772e-06,0.232892,0.000107737,9.84014e-09
1.95e-12,6380.71,23086.4,0.766995,5.26615e-06,0.232891,0.000108634,1.00416e-08
1.96e-12,6359.41,23139.7,0.766995,5.31438e-06,0.23289,0.000109531,1.02457e-08
1.97e-12,6338.7,23191.5,0.766995,5.36243e-06,0.23289,0.000110425,1.04525e-08
1.98e-12,6318.59,23241.8,0.766995,5.41028e-06,0.232889,0.000111318,1.0662e-08
1.99e-12,6299.07,23290.7,0.766995,5.45795e-06,0.232888,0.00011221,1.08742e-08
2e-12,6280.15,23338,0.766994,5.50544e-06,0.232887,0.0001131,1.10892e-08
2.01e-12,6261.81,23383.9,0.766994,5.55275e-06,0.232886,0.000113989,1.13069e-08
2.02e-12,6244.08,23428.3,0.766994,5.59989e-06,0.232885,0.000114876,1.15274e-08
2.03e-12,6226.94,23471.2,0.766994,5.64687e-06,0.232884,0.000115762,1.17506e-08
2.04e-12,6210.39,23512.5,0.766994,5.69368e-06,0.232883,0.000116646,1.19766e-08
2.05e-12,6194.44,23552.5,0.766994,5.74033e-06,0.232882,0.00011753,1.22054e-08
2.06e-12,6179.09,23590.9,0.766994,5.78682e-06,0.232882,0.000118411,1.2437e-08
2.07e-12,6164.34,23627.8,0.766994,5.83317e-06,0.232881,0.000119292,1.26713e-08
2.08e-12,6150.18,23663.2,0.766994,5.87937e-06,0.23288,0.000120172,1.29085e-08
2.09e-12,6136.61,23697.1,0.766994,5.92543e-06,0.232879,0.00012105,1.31484e-08
2.1e-12,6123.65,23729.6,0.766994,5.97136e-06,0.232878,0.000121927,1.33911e-08
2.11e-12,6111.28,23760.5,0.766994,6.01716e-06,0.232877,0.000122803,1.36366e-08
2.12e-12,6099.51,23789.9,0.766994,6.06283e-06,0.232876,0.000123678,1.38849e-08
2.13e-12,6088.34,23817.9,0.766994,6.10839e-06,0.232875,0.000124552,1.41359e-08
2.14e-12,6077.77,23844.3,0.766994,6.15384e-06,0.232875,0.000125425,1.43897e-08
2.15e-12,6067.79,23869.2,0.766994,6.19918e-06,0.232874,0.000126297,1.46461e-08
2.16e-12,6058.41,23892.7,0.766994,6.24442e-06,0.232873,0.000127169,1.49053e-08
2.17e-12,6049.63,23914.6,0.766994,6.28956e-06,0.232872,0.000128039,1.51672e-08
2.18e-12,6041.45,23935.1,0.766994,6.33462e-06,0.232871,0.000128909,1.54317e-08
2.19e-12,6033.87,23954,0.766994,6.3796e-06,0.23287,0.000129778,1.56989e-08
2.2e-12,6026.89,23971.5,0.766994,6.4245e-06,0.232869,0.000130647,1.59686e-08
2.21e-12,6020.5,23987.4,0.766994,6.46933e-06,0.232868,0.000131515,1.6241e-08
2.22e-12,6014.72,24001.9,0.766993,6.5141e-06,0.232868,0.000132382,1.65158e-08
2.23e-12,6009.53,24014.8,0.766993,6.55881e-06,0.232867,0.000133249,1.67932e-08
2.24e-12,6004.94,24026.3,0.766993,6.60347e-06,0.232866,0.000134115,1.70731e-08
2.25e-12,6000.95,24036.3,0.766993,6.64809e-06,0.232865,0.000134981,1.73553e-08
2.26e-12,5997.56,24044.7,0.766993,6.69267e-06,0.232864,0.000135847,1.76399e-08
2.27e-12,5994.77,24051.7,0.766993,6.73722e-06,0.232863,0.000136713,1.79269e-08
2.28e-12,5992.58,24057.1,0.766993,6.78174e-06,0.232862,0.000137578,1.82161e-08
2.29e-12,5990.98,24061.1,0.766993,6.82625e-06,0.232862,0.000138443,1.85076e-08
2.3e-12,5989.99,24063.5,0.766993,6.87075e-06,0.232861,0.000139308,1.88012e-08
2.31e-12,5989.59,24064.5,0.766993,6.91524e-06,0.23286,0.000140173,1.9097e-08
2.32e-12,5989.79,24064,0.766993,6.95973e-06,0.232859,0.000141038,1.93948e-08
2.33e-12,5990.59,24061.9,0.766993,7.00424e-06,0.232858,0.000141903,1.96946e-08
2.34e-12,5991.99,24058.4,0.766993,7.04876e-06,0.232857,0.000142769,1.99963e-08
2.35e-12,5993.99,24053.3,0.766993,7.0933e-06,0.232856,0.000143634,2.02999e-08
2.36e-12,5996.58,24046.8,0.766993,7.13786e-06,0.232855,0.0001445,2.06054e-08
2.37e-12,5999.78,24038.8,0.766993,7.18247e-06,0.232855,0.000145366,2.09125e-08
2.38e-12,6003.57,24029.2,0.766993,7.22711e-06,0.232854,0.000146232,2.12214e-08
2.39e-12,6007.96,24018.2,0.766993,7.27181e-06,0.232853,0.000147099,2.15319e-08
2.4e-12,6012.95,24005.7,0.766993,7.31655e-06,0.232852,0.000147966,2.18439e-08
2.41e-12,6018.53,23991.7,0.766993,7.36136e-06,0.232851,0.000148834,2.21575e-08
2.42e-12,6024.71,23976.2,0.766993,7.40624e-06,0.23285,0.000149702,2.24724e-08
2.43e-12,6031.49,23959.1,0.766993,7.45119e-06,0.232849,0.000150571,2.27887e-08
2.44e-12,6038.87,23940.6,0.766992,7.49621e-06,0.232849,0.00015144,2.31063e-08
2.45e-12,6046.85,23920.6,0.766992,7.54133e-06,0.232848,0.000152311,2.34252e-08
2.46e-12,6055.42,23899.1,0.766992,7.58654e-06,0.232847,0.000153182,2.37452e-08
2.47e-12,6064.58,23876.1,0.766992,7.63184e-06,0.232846,0.000154054,2.40663e-08
2.48e-12,6074.35,23851.6,0.766992,7.67725e-06,0.232845,0.000154927,2.43885e-08
2.49e-12,6084.71,23825.7,0.766992,7.72277e-06,0.232844,0.0001558,2.47116e-08
2.5e-12,6095.66,23798.2,0.766992,7.7684e-06,0.232843,0.000156675,2.50357e-08
2.51e-12,6107.22,23769.2,0.766992,7.81416e-06,0.232842,0.000157551,2.53607e-08
2.52e-12,6119.36,23738.8,0.766992,7.86004e-06,0.232842,0.000158428,2.56864e-08
2.53e-12,6132.11,23706.8,0.766992,7.90605e-06,0.232841,0.000159305,2.6013e-08
2.54e-12,6145.44,23673.4,0.766992,7.95221e-06,0.23284,0.000160184,2.63402e-08
2.55e-12,6159.37,23638.5,0.766992,7.9985e-06,0.232839,0.000161065,2.66681e-08
2.56e-12,6173.9,23602.1,0.766992,8.04494e-06,0.232838,0.000161946,2.69966e-08
2.57e-12,6189.02,23564.2,0.766992,8.09154e-06,0.232837,0.000162829,2.73257e-08
2.58e-12,6204.73,23524.8,0.766992,8.13829e-06,0.232836,0.000163713,2.76553e-08
